Cache miss: -73.125,40.78125,-72.421875,41.484375, Tile: x: 152, y: 186, z: 8, time: 0.171719074249
Cache miss: -73.828125,40.78125,-73.125,41.484375, Tile: x: 151, y: 186, z: 8, time: 0.178302049637
Cache miss: -72.421875,40.78125,-71.71875,41.484375, Tile: x: 153, y: 186, z: 8, time: 0.242110013962
Cache miss: -73.828125,40.078125,-73.125,40.78125, Tile: x: 151, y: 185, z: 8, time: 0.186012029648
Cache miss: -74.53125,40.078125,-73.828125,40.78125, Tile: x: 150, y: 185, z: 8, time: 0.202152013779
Cache miss: -74.53125,40.78125,-73.828125,41.484375, Tile: x: 150, y: 186, z: 8, time: 0.217240810394
Cache miss: -73.125,40.078125,-72.421875,40.78125, Tile: x: 152, y: 185, z: 8, time: 0.0945951938629
Cache miss: -72.421875,40.078125,-71.71875,40.78125, Tile: x: 153, y: 185, z: 8, time: 0.108681201935
Cache miss: -71.71875,40.78125,-71.015625,41.484375, Tile: x: 154, y: 186, z: 8, time: 0.107239961624
Cache miss: -71.71875,40.078125,-71.015625,40.78125, Tile: x: 154, y: 185, z: 8, time: 0.140225172043
Cache miss: -72.421875,41.484375,-71.71875,42.1875, Tile: x: 153, y: 187, z: 8, time: 0.103991985321
Cache miss: -73.125,41.484375,-72.421875,42.1875, Tile: x: 152, y: 187, z: 8, time: 0.119091033936
Cache miss: -71.71875,41.484375,-71.015625,42.1875, Tile: x: 154, y: 187, z: 8, time: 0.1540620327
Cache miss: -74.53125,41.484375,-73.828125,42.1875, Tile: x: 150, y: 187, z: 8, time: 0.102782011032
Cache miss: -73.828125,41.484375,-73.125,42.1875, Tile: x: 151, y: 187, z: 8, time: 0.184376001358
Cache miss: -75.234375,41.484375,-74.53125,42.1875, Tile: x: 149, y: 187, z: 8, time: 0.142353057861
Cache miss: -75.234375,40.78125,-74.53125,41.484375, Tile: x: 149, y: 186, z: 8, time: 0.166454076767
Cache miss: -74.53125,39.375,-73.828125,40.078125, Tile: x: 150, y: 184, z: 8, time: 0.126630067825
Cache miss: -75.234375,40.078125,-74.53125,40.78125, Tile: x: 149, y: 185, z: 8, time: 0.169725894928
Cache miss: -75.234375,39.375,-74.53125,40.078125, Tile: x: 149, y: 184, z: 8, time: 0.170971155167
Cache miss: -73.828125,39.375,-73.125,40.078125, Tile: x: 151, y: 184, z: 8, time: 0.144035100937
Cache miss: -73.125,39.375,-72.421875,40.078125, Tile: x: 152, y: 184, z: 8, time: 0.095813035965
Cache miss: -72.421875,39.375,-71.71875,40.078125, Tile: x: 153, y: 184, z: 8, time: 0.104803085327
Cache miss: -71.71875,39.375,-71.015625,40.078125, Tile: x: 154, y: 184, z: 8, time: 0.100311040878
Cache miss: -71.015625,40.078125,-70.3125,40.78125, Tile: x: 155, y: 185, z: 8, time: 0.125043153763
Cache miss: -71.015625,41.484375,-70.3125,42.1875, Tile: x: 155, y: 187, z: 8, time: 0.111679077148
Cache miss: -71.015625,40.78125,-70.3125,41.484375, Tile: x: 155, y: 186, z: 8, time: 0.155083179474
Cache miss: -71.015625,39.375,-70.3125,40.078125, Tile: x: 155, y: 184, z: 8, time: 0.167976140976
Cache miss: -71.015625,42.1875,-70.3125,42.890625, Tile: x: 155, y: 188, z: 8, time: 0.0962970256805
Cache miss: -71.71875,42.1875,-71.015625,42.890625, Tile: x: 154, y: 188, z: 8, time: 0.115608930588
Cache miss: -72.421875,42.1875,-71.71875,42.890625, Tile: x: 153, y: 188, z: 8, time: 0.107651948929
Cache miss: -73.125,42.1875,-72.421875,42.890625, Tile: x: 152, y: 188, z: 8, time: 0.114030122757
Cache miss: -74.53125,42.1875,-73.828125,42.890625, Tile: x: 150, y: 188, z: 8, time: 0.170527935028
Cache miss: -75.234375,42.1875,-74.53125,42.890625, Tile: x: 149, y: 188, z: 8, time: 0.128836154938
Cache miss: -75.9375,42.1875,-75.234375,42.890625, Tile: x: 148, y: 188, z: 8, time: 0.138990163803
Cache miss: -75.9375,41.484375,-75.234375,42.1875, Tile: x: 148, y: 187, z: 8, time: 0.108969926834
Cache miss: -73.828125,42.1875,-73.125,42.890625, Tile: x: 151, y: 188, z: 8, time: 0.216324806213
Cache miss: -75.9375,40.78125,-75.234375,41.484375, Tile: x: 148, y: 186, z: 8, time: 0.113093852997
Cache miss: -75.9375,39.375,-75.234375,40.078125, Tile: x: 148, y: 184, z: 8, time: 0.10396194458
Cache miss: -75.9375,40.078125,-75.234375,40.78125, Tile: x: 148, y: 185, z: 8, time: 0.126963853836
Cache miss: -75.9375,38.671875,-75.234375,39.375, Tile: x: 148, y: 183, z: 8, time: 0.10652589798
Cache miss: -75.234375,38.671875,-74.53125,39.375, Tile: x: 149, y: 183, z: 8, time: 0.110386133194
Cache miss: -74.53125,38.671875,-73.828125,39.375, Tile: x: 150, y: 183, z: 8, time: 0.10746884346
Cache miss: -73.828125,38.671875,-73.125,39.375, Tile: x: 151, y: 183, z: 8, time: 0.105208873749
Cache miss: -71.015625,38.671875,-70.3125,39.375, Tile: x: 155, y: 183, z: 8, time: 0.0986089706421
Cache miss: -72.421875,38.671875,-71.71875,39.375, Tile: x: 153, y: 183, z: 8, time: 0.119593143463
Cache miss: -71.71875,38.671875,-71.015625,39.375, Tile: x: 154, y: 183, z: 8, time: 0.135038137436
Cache miss: -73.125,38.671875,-72.421875,39.375, Tile: x: 152, y: 183, z: 8, time: 0.147929906845
Cache miss: -70.3125,39.375,-69.609375,40.078125, Tile: x: 156, y: 184, z: 8, time: 0.1103079319
Cache miss: -70.3125,38.671875,-69.609375,39.375, Tile: x: 156, y: 183, z: 8, time: 0.140909910202
Cache hit: -71.015625,42.890625,-70.3125,43.59375, Tile: x: 155, y: 189, z: 8, time: 0.0161609649658, debug: True
Cache miss: -70.3125,40.078125,-69.609375,40.78125, Tile: x: 156, y: 185, z: 8, time: 0.104732036591
Cache hit: -71.71875,42.890625,-71.015625,43.59375, Tile: x: 154, y: 189, z: 8, time: 0.000668048858643, debug: True
